snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
43,0.11,0.003,65199836,2951984,15823772,46424080,67108860,65371900,1736960,42067052,backup,60,0.0,2019-10-22 14:53:42
44,0.11,0.003,65199836,3159616,15816832,46223388,67108860,65371644,1737216,42080672,backup,60,0.0,2019-10-22 14:53:42
45,0.11,0.003,65199836,4590672,15831732,44777432,67108860,65371644,1737216,42067016,backup,60,0.0,2019-10-22 14:53:42
46,0.11,0.003,65199836,4079536,15840292,45280008,67108860,65371644,1737216,42054264,backup,60,0.0,2019-10-22 14:53:42
47,0.11,0.003,65199836,3756704,15831380,45611752,67108860,65371644,1737216,42062632,backup,60,0.0,2019-10-22 14:53:42
48,0.11,0.003,65199836,3409640,15836588,45953608,67108860,65371644,1737216,42057928,backup,60,0.0,2019-10-22 14:53:42
49,0.11,0.003,65199836,3071560,15837996,46290280,67108860,65371644,1737216,42056440,backup,60,0.0,2019-10-22 14:53:42
50,0.11,0.003,65199836,3274416,15841084,46084336,67108860,65371388,1737472,42053260,backup,60,0.0,2019-10-22 14:53:42
51,0.11,0.003,65199836,2966180,15847648,46386008,67108860,65371388,1737472,42045860,backup,60,0.0,2019-10-22 14:53:42
52,0.11,0.003,65199836,3172500,15797964,46229372,67108860,65371388,1737472,42094624,backup,60,0.0,2019-10-22 14:53:42
53,0.11,0.003,65199836,3495312,15809308,45895216,67108860,65371132,1737728,42084940,backup,60,0.0,2019-10-22 14:53:42
54,0.11,0.003,65199836,3063396,15810424,46326016,67108860,65371132,1737728,42083208,backup,60,0.0,2019-10-22 14:53:42
55,0.11,0.003,65199836,3353244,15817724,46028868,67108860,65371132,1737728,42075116,backup,60,0.0,2019-10-22 14:53:42
56,0.11,0.003,65199836,2971544,15805308,46422984,67108860,65371132,1737728,42086612,backup,60,0.0,2019-10-22 14:53:42
57,0.11,0.003,65199836,4002636,15802544,45394656,67108860,65370876,1737984,42089284,backup,60,0.0,2019-10-22 14:53:42
58,0.11,0.003,65199836,3540092,15900564,45759180,67108860,65370876,1737984,41992920,backup,60,0.0,2019-10-22 14:53:42
59,0.11,0.003,65199836,3077272,15958828,46163736,67108860,65370876,1737984,41935904,backup,60,0.0,2019-10-22 14:53:42
60,0.11,0.003,65199836,3359888,15998140,45841808,67108860,65370620,1738240,41893760,backup,60,0.0,2019-10-22 14:53:42
61,0.11,0.003,65199836,2969988,16008780,46221068,67108860,65370620,1738240,41883712,backup,60,0.0,2019-10-22 14:53:42
62,0.11,0.003,65199836,3179596,16024212,45996028,67108860,65370364,1738496,41868744,backup,60,0.0,2019-10-22 14:53:42
63,0.11,0.003,65199836,3315596,16051008,45833232,67108860,65370108,1738752,41843656,backup,60,0.0,2019-10-22 14:53:42
64,0.11,0.003,65199836,3193572,15996704,46009560,67108860,65370108,1738752,41897848,backup,60,0.0,2019-10-22 14:53:42
65,0.11,0.003,65199836,3455972,15993916,45749948,67108860,65369852,1739008,41900624,backup,60,0.0,2019-10-22 14:53:42
66,0.11,0.003,65199836,3018280,15985752,46195804,67108860,65369852,1739008,41908060,backup,60,0.0,2019-10-22 14:53:42
67,0.11,0.003,65199836,3243880,15985120,45970836,67108860,65369596,1739264,41909464,backup,60,0.0,2019-10-22 14:53:42
68,0.11,0.003,65199836,2937056,15982208,46280572,67108860,65369596,1739264,41912576,backup,60,0.0,2019-10-22 14:53:42
69,0.11,0.003,65199836,3094616,15995780,46109440,67108860,65369596,1739264,41898804,backup,60,0.0,2019-10-22 14:53:42
70,0.11,0.003,65199836,3473144,15995420,45731272,67108860,65369596,1739264,41899084,backup,60,0.0,2019-10-22 14:53:42
71,0.11,0.003,65199836,3106212,15981464,46112160,67108860,65369596,1739264,41912028,backup,60,0.0,2019-10-22 14:53:42
72,0.11,0.003,65199836,3599712,15986204,45613920,67108860,65369596,1739264,41908108,backup,60,0.0,2019-10-22 14:53:42
73,0.11,0.003,65199836,3115368,15989756,46094712,67108860,65369596,1739264,41904360,backup,60,0.0,2019-10-22 14:53:42
74,0.11,0.003,65199836,3489740,15982740,45727356,67108860,65369596,1739264,41910308,backup,60,0.0,2019-10-22 14:53:42
75,0.11,0.003,65199836,3055076,15996244,46148516,67108860,65369596,1739264,41898052,backup,60,0.0,2019-10-22 14:53:42
76,0.11,0.003,65199836,3311028,15974384,45914424,67108860,65369340,1739520,41918236,backup,60,0.0,2019-10-22 14:53:42
77,0.11,0.003,65199836,2949908,15983812,46266116,67108860,65369340,1739520,41910272,backup,60,0.0,2019-10-22 14:53:42
78,0.11,0.003,65199836,3302944,15983724,45913168,67108860,65369084,1739776,41910844,backup,60,0.0,2019-10-22 14:53:42
79,0.11,0.003,65199836,3491376,15984260,45724200,67108860,65368828,1740032,41912728,backup,60,0.0,2019-10-22 14:53:42
80,0.11,0.003,65199836,3446188,15991992,45761656,67108860,65368572,1740288,41907892,backup,60,0.0,2019-10-22 14:53:42
81,0.11,0.003,65199836,3260320,15987536,45951980,67108860,65368572,1740288,41911852,backup,60,0.0,2019-10-22 14:53:42
82,0.11,0.003,65199836,3090232,15987616,46121988,67108860,65368572,1740288,41911380,backup,60,0.0,2019-10-22 14:53:42
83,0.11,0.003,65199836,3083944,15980200,46135692,67108860,65368316,1740544,41918660,backup,60,0.0,2019-10-22 14:53:42
84,0.111,0.003,65199836,3345796,15988088,45865952,67108860,65368060,1740800,41911544,backup,60,0.0,2019-10-22 14:53:42
85,0.111,0.003,65199836,3543368,16000448,45656020,67108860,65367804,1741056,41902544,backup,60,0.0,2019-10-22 14:53:42
86,0.111,0.003,65199836,3244208,15982560,45973068,67108860,65367804,1741056,41919060,backup,60,0.0,2019-10-22 14:53:42
87,0.111,0.003,65199836,4019704,15995680,45184452,67108860,65367292,1741568,41907204,backup,60,0.0,2019-10-22 14:53:42
88,0.111,0.003,65199836,3602412,15973540,45623884,67108860,65367292,1741568,41927380,backup,60,0.0,2019-10-22 14:53:42
89,0.111,0.003,65199836,3319800,15989640,45890396,67108860,65367292,1741568,41913068,backup,60,0.0,2019-10-22 14:53:42
90,0.111,0.003,65199836,2989324,15990052,46220460,67108860,65367292,1741568,41912428,backup,60,0.0,2019-10-22 14:53:42
91,0.111,0.003,65199836,3292092,15995796,45911948,67108860,65367036,1741824,41906360,backup,60,0.0,2019-10-22 14:53:42
92,0.111,0.003,65199836,3522352,15994840,45682644,67108860,65366780,1742080,41907860,backup,60,0.0,2019-10-22 14:53:42
93,0.111,0.003,65199836,3085532,15997184,46117120,67108860,65366780,1742080,41904264,backup,60,0.0,2019-10-22 14:53:42
94,0.111,0.003,65199836,3202228,15983072,46014536,67108860,65366780,1742080,41916624,backup,60,0.0,2019-10-22 14:53:42
95,0.111,0.003,65199836,2939896,15985744,46274196,67108860,65366780,1742080,41915592,backup,60,0.0,2019-10-22 14:53:42
96,0.111,0.003,65199836,3154412,15981752,46063672,67108860,65366524,1742336,41920416,backup,60,0.0,2019-10-22 14:53:42
97,0.111,0.003,65199836,3358616,16002408,45838812,67108860,65366012,1742848,41901392,backup,60,0.0,2019-10-22 14:53:42
98,0.111,0.003,65199836,2900832,16002408,46296596,67108860,65366012,1742848,41900588,backup,60,0.0,2019-10-22 14:53:42
99,0.111,0.003,65199836,3008188,16006844,46184804,67108860,65365756,1743104,41895112,backup,60,0.0,2019-10-22 14:53:42
100,0.111,0.003,65199836,3346080,15995836,45857920,67108860,65365756,1743104,41907116,backup,60,0.0,2019-10-22 14:53:42
101,0.111,0.003,65199836,3571344,16001508,45626984,67108860,65365756,1743104,41901836,backup,60,0.0,2019-10-22 14:53:42
102,0.111,0.003,65199836,3332956,16005032,45861848,67108860,65365756,1743104,41898088,backup,60,0.0,2019-10-22 14:53:42
103,0.111,0.003,65199836,2955692,15991032,46253112,67108860,65365756,1743104,41910964,backup,60,0.0,2019-10-22 14:53:42
104,0.111,0.003,65199836,3098520,15996708,46104608,67108860,65365500,1743360,41906912,backup,60,0.0,2019-10-22 14:53:42
105,0.111,0.003,65199836,3480512,16006096,45713228,67108860,65365244,1743616,41900408,backup,60,0.0,2019-10-22 14:53:42
106,0.111,0.003,65199836,3049016,16002428,46148392,67108860,65365244,1743616,41902532,backup,60,0.0,2019-10-22 14:53:42
107,0.111,0.003,65199836,3340304,16000560,45858972,67108860,65364732,1744128,41903728,backup,60,0.0,2019-10-22 14:53:42
108,0.111,0.003,65199836,3511132,16003644,45685060,67108860,65364732,1744128,41900044,backup,60,0.0,2019-10-22 14:53:42
109,0.111,0.003,65199836,3192016,16009924,45997896,67108860,65364732,1744128,41893104,backup,60,0.0,2019-10-22 14:53:42
110,0.111,0.003,65199836,3395644,16001432,45802760,67108860,65364732,1744128,41902832,backup,60,0.0,2019-10-22 14:53:42
111,0.111,0.003,65199836,3055552,16019508,46124776,67108860,65364732,1744128,41884684,backup,60,0.0,2019-10-22 14:53:42
112,0.111,0.003,65199836,4003760,16010140,45185936,67108860,65364732,1744128,41893984,backup,60,0.0,2019-10-22 14:53:42
113,0.111,0.003,65199836,3687816,15993776,45518244,67108860,65364732,1744128,41910252,backup,60,0.0,2019-10-22 14:53:42
114,0.111,0.003,65199836,3276800,16000992,45922044,67108860,65364732,1744128,41902996,backup,60,0.0,2019-10-22 14:53:42
115,0.111,0.003,65199836,2975432,16000280,46224124,67108860,65364732,1744128,41903520,backup,60,0.0,2019-10-22 14:53:42
116,0.111,0.003,65199836,3113524,15991492,46094820,67108860,65364476,1744384,41912356,backup,60,0.0,2019-10-22 14:53:42
117,0.111,0.003,65199836,3382932,16012000,45804904,67108860,65364220,1744640,41891604,backup,60,0.0,2019-10-22 14:53:42
118,0.111,0.003,65199836,2929916,15996444,46273476,67108860,65364220,1744640,41907156,backup,60,0.0,2019-10-22 14:53:42
119,0.111,0.003,65199836,3177544,16008148,46014144,67108860,65363964,1744896,41896352,backup,60,0.0,2019-10-22 14:53:42
120,0.111,0.003,65199836,3345980,16006344,45847512,67108860,65363708,1745152,41897348,backup,60,0.0,2019-10-22 14:53:42
121,0.111,0.003,65199836,3010324,15992316,46197196,67108860,65363708,1745152,41910216,backup,60,0.0,2019-10-22 14:53:42
122,0.111,0.003,65199836,3334604,15998956,45866276,67108860,65363452,1745408,41900576,backup,60,0.0,2019-10-22 14:53:42
123,0.111,0.003,65199836,2922700,15995964,46281172,67108860,65363452,1745408,41902336,backup,60,0.0,2019-10-22 14:53:42
124,0.111,0.003,65199836,3121008,16004600,46074228,67108860,65362940,1745920,41894788,backup,60,0.0,2019-10-22 14:53:42
125,0.111,0.003,65199836,3409028,15999644,45791164,67108860,65362940,1745920,41899292,backup,60,0.0,2019-10-22 14:53:42
126,0.111,0.003,65199836,2930440,15998844,46270552,67108860,65362940,1745920,41898896,backup,60,0.0,2019-10-22 14:53:42
127,0.111,0.003,65199836,3193220,15988692,46017924,67108860,65362940,1745920,41909816,backup,60,0.0,2019-10-22 14:53:42
128,0.111,0.003,65199836,3433112,16003712,45763012,67108860,65362940,1745920,41895664,backup,60,0.0,2019-10-22 14:53:42
129,0.111,0.003,65199836,3070068,15993788,46135980,67108860,65362940,1745920,41905012,backup,60,0.0,2019-10-22 14:53:42
