snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
1,0.012,0.0,13138569,11793157,11757380,1696736,66674684,66674684,0,11518675,backup,8,0.5,2019-10-04 17:46:28
2,0.012,0.0,13138569,11751437,12103824,1767492,66674684,66674684,0,11480386,backup,8,0.5,2019-10-04 17:46:28
3,0.021,0.0,13138569,11174671,13980504,5658476,66674684,66674684,0,11093292,backup,8,0.5,2019-10-04 17:46:28
4,0.021,0.0,13138569,10525317,13994968,12137548,66674684,66674684,0,11081059,backup,8,0.5,2019-10-04 17:46:28
5,0.021,0.0,13138569,98625432,14030308,18729952,66674684,66674684,0,11072944,backup,8,0.5,2019-10-04 17:46:28
6,0.021,0.0,13138569,92050608,14057616,25277464,66674684,66674684,0,11065718,backup,8,0.5,2019-10-04 17:46:28
7,0.021,0.0,13138569,85519456,14089800,31776436,66674684,66674684,0,11057645,backup,8,0.5,2019-10-04 17:46:28
8,0.021,0.0,13138569,79022000,14117360,38246328,66674684,66674684,0,11050705,backup,8,0.5,2019-10-04 17:46:28
9,0.021,0.0,13138569,72420608,14125108,44839976,66674684,66674684,0,11044709,backup,8,0.5,2019-10-04 17:46:28
10,0.021,0.0,13138569,65901952,14148372,51335368,66674684,66674684,0,11038108,backup,8,0.5,2019-10-04 17:46:28
11,0.021,0.0,13138569,60810628,14136884,56438180,66674684,66674684,0,11035483,backup,8,0.5,2019-10-04 17:46:28
12,0.021,0.0,13138569,54252996,14164332,62968364,66674684,66674684,0,11028385,backup,8,0.5,2019-10-04 17:46:28
13,0.021,0.0,13138569,47665564,14183636,69536496,66674684,66674684,0,11021596,backup,8,0.5,2019-10-04 17:46:28
14,0.021,0.0,13138569,41118248,14235072,76032368,66674684,66674684,0,11012216,backup,8,0.5,2019-10-04 17:46:28
15,0.021,0.0,13138569,34434224,14287328,82664144,66674684,66674684,0,11002262,backup,8,0.5,2019-10-04 17:46:28
16,0.021,0.0,13138569,27946084,14308280,89131328,66674684,66674684,0,10995245,backup,8,0.5,2019-10-04 17:46:28
17,0.021,0.0,13138569,21395568,14334620,95655504,66674684,66674684,0,10988428,backup,8,0.5,2019-10-04 17:46:28
18,0.021,0.0,13138569,14893580,14355632,10213648,66674684,66674684,0,10982043,backup,8,0.5,2019-10-04 17:46:28
19,0.021,0.0,13138569,9987276,14325756,10707265,66674684,66674684,0,10981435,backup,8,0.5,2019-10-04 17:46:28
20,0.021,0.0,13138569,6671988,14273172,11044052,66674684,66674684,0,10988476,backup,8,0.5,2019-10-04 17:46:28
21,0.021,0.0,13138569,6479060,13166164,11174046,66674684,66674684,0,11100384,backup,8,0.5,2019-10-04 17:46:28
22,0.021,0.0,13138569,5147256,13180552,11305788,66674684,66674684,0,11098102,backup,8,0.5,2019-10-04 17:46:28
23,0.021,0.0,13138569,3818800,13190312,11437657,66674684,66674684,0,11096264,backup,8,0.5,2019-10-04 17:46:28
24,0.021,0.0,13138569,3376224,13191744,11481772,66674684,66674684,0,11095268,backup,8,0.5,2019-10-04 17:46:28
25,0.021,0.0,13138569,2902704,13203796,11527919,66674684,66674684,0,11093582,backup,8,0.5,2019-10-04 17:46:28
26,0.021,0.0,13138569,3296180,13205580,11488393,66674684,66674684,0,11093489,backup,8,0.5,2019-10-04 17:46:28
27,0.021,0.0,13138569,3736748,13195440,11445350,66674684,66674684,0,11094462,backup,8,0.5,2019-10-04 17:46:28
28,0.021,0.0,13138569,3280940,13190140,11491460,66674684,66674684,0,11094670,backup,8,0.5,2019-10-04 17:46:28
29,0.021,0.0,13138569,3674328,13196160,11451520,66674684,66674684,0,11094125,backup,8,0.5,2019-10-04 17:46:28
30,0.021,0.0,13138569,3219980,13191076,11497464,66674684,66674684,0,11094459,backup,8,0.5,2019-10-04 17:46:28
31,0.021,0.0,13138569,3565268,13221612,11459881,66674684,66674684,0,11091465,backup,8,0.5,2019-10-04 17:46:28
32,0.021,0.0,13138569,3165632,13193332,11502672,66674684,66674684,0,11093913,backup,8,0.5,2019-10-04 17:46:28
33,0.021,0.0,13138569,3557716,13199680,11462829,66674684,66674684,0,11093328,backup,8,0.5,2019-10-04 17:46:28
34,0.021,0.0,13138569,3100368,13202364,11508296,66674684,66674684,0,11092663,backup,8,0.5,2019-10-04 17:46:28
1,0.012,0.0,13138569,11793118,11736580,1717928,66674684,66674684,0,11519975,backup,2,0.98,2019-10-04 16:45:20
2,0.012,0.0,13138569,11778528,11827872,1772544,66674684,66674684,0,11508080,backup,2,0.98,2019-10-04 16:45:20
3,0.013000000000000001,0.0,13138569,11733668,12191052,1857956,66674684,66674684,0,11466507,backup,2,0.98,2019-10-04 16:45:20
4,0.013000000000000001,0.0,13138569,11714217,12286520,1956996,66674684,66674684,0,11451921,backup,2,0.98,2019-10-04 16:45:20
5,0.013999999999999999,0.0,13138569,11689059,12406500,2088600,66674684,66674684,0,11433305,backup,2,0.98,2019-10-04 16:45:20
6,0.015,0.0,13138569,11671848,12513192,2154012,66674684,66674684,0,11419377,backup,2,0.98,2019-10-04 16:45:20
7,0.016,0.0,13138569,11646200,12638236,2285448,66674684,66674684,0,11400328,backup,2,0.98,2019-10-04 16:45:20
8,0.016,0.0,13138569,11633667,12665252,2383772,66674684,66674684,0,11392646,backup,2,0.98,2019-10-04 16:45:20
9,0.016,0.0,13138569,11622559,12677272,2482828,66674684,66674684,0,11386472,backup,2,0.98,2019-10-04 16:45:20
10,0.016,0.0,13138569,11616881,12635608,2581272,66674684,66674684,0,11385753,backup,2,0.98,2019-10-04 16:45:20
11,0.016,0.0,13138569,11606380,12642052,2679836,66674684,66674684,0,11380161,backup,2,0.98,2019-10-04 16:45:20
12,0.016,0.0,13138569,11592432,12649820,2811552,66674684,66674684,0,11372767,backup,2,0.98,2019-10-04 16:45:20
13,0.016,0.0,13138569,11578593,12689376,2910376,66674684,66674684,0,11363841,backup,2,0.98,2019-10-04 16:45:20
14,0.017,0.0,13138569,11576665,12590980,3028060,66674684,66674684,0,11368249,backup,2,0.98,2019-10-04 16:45:20
1,0.012,0.0,13138569,11748955,11996428,1899708,66674684,66674684,0,11484697,backup,4,0.5,2019-10-04 17:05:04
2,0.012,0.0,13138569,11737638,12044748,1964560,66674684,66674684,0,11476643,backup,4,0.5,2019-10-04 17:05:04
3,0.02,0.0,13138569,11262361,13732140,5029932,66674684,66674684,0,11151615,backup,4,0.5,2019-10-04 17:05:04
4,0.02,0.0,13138569,10815988,13591536,9634268,66674684,66674684,0,11126075,backup,4,0.5,2019-10-04 17:05:04
